@sprite <
   *** 
  ***0*
  *****
   33* 
*88888 
*88888 
   888 
   888 
   888 
   ;;; 
   ;;; 
   * * 
   * * 
   * * 
   * * 
  **** E
@sprite {
   *** 
  ***0*
  *****
   33* 
*88888 
*88888 
   888 
   888 
   888 
   ;;; 
   ;;; 
   * * 
    *  
    *  
    ***
  **  *E
@sprite >
 ***   
*0***  
*****  
 *33   
 88888*
 88888*
 888   
 888   
 888   
 ;;;   
 ;;;   
 * *   
 * *   
 * *   
 * *   
 ****  E
@sprite }
 ***   
*0***  
*****  
 *33   
 88888*
 88888*
 888   
 888   
 888   
 ;;;   
 ;;;   
 * *   
  *    
  *    
***    
*  **  E
97 31 H
19 31 H
214 166 H
241 175 H
202 139 H
100 124 V
100 94 V
100 64 V
100 34 V
100 25 V
298 97 V
298 127 V
298 157 V
298 16 V
298 61 V
67 118 D
118 118 D
271 163 D
220 121 D
166 55 D
37 13 D
274 52 D
187 19 D
97 10 D
133 118 D
@level 5
Brain Out!
-29 175 H
34 160 H
-35 136 H
34 118 H
-32 91 H
-32 58 H
-32 73 H
19 58 H
70 58 H
130 88 H
184 109 H
235 109 H
211 97 H
211 79 H
211 61 H
211 46 H
211 31 H
262 31 H
196 31 H
274 31 H
184 163 V
184 109 V
184 136 V
256 31 V
211 31 V
256 1 V
199 115 V
199 145 V
199 163 V
205 163 V
52 85 D
199 10 D
271 55 D
223 151 D
241 151 D
259 151 D
223 172 D
241 172 D
259 172 D
190 94 D
@level 6
AAAAH!
1 175 H
253 175 H
253 163 H
1 157 H
1 139 H
52 139 H
103 139 H
1 124 H
1 106 H
1 88 H
1 70 H
52 70 H
103 70 H
1 55 H
1 37 H
1 19 H
253 151 H
253 139 H
253 127 H
253 115 H
46 163 V
46 130 V
46 43 V
46 19 V
91 76 V
91 106 V
91 112 V
253 85 V
253 55 V
253 25 V
67 94 D
67 151 D
91 151 D
79 169 D
112 94 D
91 31 D
76 31 D
106 31 D
211 145 D
274 67 D
@level 7
Push it in!
40 172 H
91 172 H
142 172 H
61 139 H
112 139 H
61 109 H
112 109 H
142 124 H
13 124 H
85 166 H
208 106 H
265 88 H
265 64 H
205 43 H
130 25 H
46 52 H
1 52 H
1 49 H
1 40 H
1 25 H
61 112 V
157 112 V
13 112 V
46 22 V
46 1 V
193 166 V
289 58 V
289 46 V
265 88 V
310 88 V
301 49 D
106 115 D
208 115 D
70 37 D
88 115 D
124 115 D
70 115 D
79 127 D
115 127 D
97 127 D
@level 8
Drink & DrIvE
43 169 H
43 148 H
43 124 H
43 100 H
43 73 H
43 46 H
94 46 H
145 46 H
196 46 H
94 100 H
145 100 H
196 100 H
94 148 H
145 148 H
196 148 H
280 46 H
280 100 H
280 148 H
187 43 H
100 43 H
43 49 V
43 79 V
43 109 V
43 121 V
241 52 V
241 121 V
241 91 V
241 70 V
304 16 V
304 -8 V
169 61 D
169 115 D
169 25 D
286 25 D
289 70 D
292 115 D
184 61 D
184 109 D
94 166 D
34 166 D
@level 9
Sweet Killer
1 163 H
1 151 H
1 136 H
1 118 H
1 100 H
1 79 H
1 61 H
1 43 H
52 43 H
130 43 H
205 43 H
280 43 H
1 160 H
1 157 H
1 154 H
1 148 H
1 142 H
1 139 H
1 145 H
1 133 H
49 46 V
49 76 V
49 106 V
154 49 V
154 79 V
229 49 V
229 79 V
97 49 V
97 79 V
73 67 V
19 88 D
112 67 D
181 70 D
274 85 D
298 25 D
304 178 D
130 67 D
196 70 D
151 25 D
229 25 D
@level A
THE CRYSTAL STORE
286 175 H
283 151 H
286 130 H
280 109 H
223 85 H
223 67 H
163 49 H
112 49 H
55 67 H
55 85 H
4 85 H
4 67 H
223 49 H
235 175 H
190 175 H
145 175 H
103 175 H
58 175 H
16 175 H
-2 175 H
217 49 V
217 61 V
211 49 V
211 61 V
106 49 V
106 61 V
91 169 V
157 169 V
226 169 V
157 46 V
91 55 D
244 37 D
190 160 D
121 160 D
154 142 D
223 139 D
91 139 D
250 163 D
64 163 D
154 22 D
@level B
THE CATACOMB
133 118 H
82 118 H
31 118 H
184 118 H
235 118 H
31 79 H
82 79 H
133 79 H
184 79 H
235 79 H
-2 79 H
271 79 H
31 97 H
88 97 H
145 97 H
202 97 H
235 97 H
127 139 H
127 160 H
127 175 H
28 85 V
286 85 V
82 49 V
82 19 V
139 49 V
139 19 V
196 49 V
196 19 V
241 49 V
241 19 V
55 31 D
109 31 D
166 31 D
217 31 D
283 31 D
16 31 D
34 31 D
262 31 D
166 43 D
301 31 D
@level C
THE TUNNELS
76 172 H
76 136 H
127 136 H
127 169 H
127 172 H
178 136 H
178 172 H
76 100 H
127 100 H
178 100 H
76 64 H
127 64 H
178 64 H
121 49 H
178 157 H
76 118 H
178 82 H
121 37 H
25 64 H
-2 64 H
76 70 V
76 55 V
76 106 V
223 58 V
223 88 V
223 118 V
223 142 V
118 1 V
172 1 V
223 28 V
142 7 D
13 31 D
88 70 D
208 106 D
88 142 D
127 7 D
160 7 D
202 25 D
187 25 D
193 34 D
@level D
ROLLING STONES
46 166 H
46 151 H
46 133 H
46 115 H
46 97 H
46 79 H
178 79 H
178 97 H
178 115 H
178 133 H
178 151 H
178 166 H
112 148 H
112 118 H
112 79 H
178 64 H
46 64 H
46 49 H
178 49 H
112 37 H
133 7 V
133 -5 V
133 34 V
133 58 V
133 79 V
133 97 V
133 127 V
139 -5 V
127 -5 V
133 130 V
115 7 D
145 7 D
64 19 D
199 19 D
121 46 D
142 46 D
121 88 D
139 88 D
121 124 D
139 124 D
@level E
ILLUSORY CAVES
274 166 H
274 148 H
202 130 H
127 115 H
61 100 H
-2 85 H
-2 64 H
64 49 H
133 37 H
199 46 H
265 46 H
265 40 H
265 43 H
265 37 H
265 34 H
265 31 H
265 28 H
265 25 H
265 22 H
274 181 H
226 121 V
148 106 V
85 91 V
163 28 V
235 37 V
307 4 V
295 10 V
64 184 V
94 184 V
124 184 V
277 28 D
19 40 D
211 118 D
232 16 D
85 34 D
16 139 D
76 163 D
109 163 D
97 88 D
172 25 D
@level F
THE LAST ORDEAL
142 172 H
142 157 H
142 142 H
142 124 H
193 124 H
244 124 H
268 106 H
244 85 H
193 85 H
112 85 H
61 85 H
10 85 H
10 70 H
10 46 H
61 46 H
136 46 H
211 46 H
286 46 H
265 172 H
265 184 H
109 79 V
82 79 V
220 115 V
226 115 V
214 115 V
232 115 V
238 115 V
97 79 V
121 79 V
70 79 V
301 10 D
283 145 D
25 52 D
37 7 D
157 7 D
232 7 D
232 52 D
172 85 D
193 46 D
283 112 D
@sprite S
  6666 
 660067
6660666
6666666
 >>666 
   676 
  76666
  67677
6676666
7666666
  66766
   667 
   666 
  66 6 
 76  66
666 667E
@sprite B
           
           
           
           
           E
@sprite b
           
           
           
           
           E
